model,seed,history,checkpoint,M,struct_access,eff_alt,edge_count,total_weight,n_active
Fixed,0,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,1,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,2,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,3,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,4,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,5,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,6,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,7,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,8,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,9,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,10,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,11,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,12,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,13,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,14,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,15,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,16,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,17,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,18,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,19,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,20,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,21,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,22,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,23,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,24,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,25,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,26,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,27,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,28,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,29,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,30,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,31,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,32,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,33,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,34,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,35,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,36,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,37,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,38,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,39,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,40,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,41,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,42,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,43,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,44,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,45,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,46,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,47,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,48,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,49,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,50,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,51,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,52,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,53,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,54,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,55,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,56,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,57,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,58,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,59,A,0,0.000000,40,256.000000,144,144.000000,0
Fixed,60,A,0,0.000000,40,256.000000,144,144.000000,0
